d0,mean_brier,se_brier,n,target_fold
0.5,0.029860636437930542,0.006662104840287987,630,0
0.75,0.029168900580201527,0.006709495760816901,630,0
1.0,0.028763138850225804,0.006721540365192317,630,0
1.5,0.02847683047360335,0.006724154950865691,630,0
2.0,0.02843433956916521,0.006725214632330188,630,0
3.0,0.02844054112017073,0.006726454528690634,630,0
4.0,0.028437617029625235,0.006726455264244051,630,0
5.0,0.028437455553951912,0.006726455017774133,630,0
6.0,0.028437455553951912,0.006726455017774133,630,0
8.0,0.02843745555395191,0.006726455017774133,630,0
10.0,0.028437455553951912,0.006726455017774133,630,0
12.0,0.028437455553951912,0.006726455017774133,630,0
0.5,0.021051299552196687,0.0052319220585386106,632,1
0.75,0.020450340049236806,0.0052852224469977,632,1
1.0,0.020067784467103607,0.005300310731158097,632,1
1.5,0.019782557923734134,0.005303774135855305,632,1
2.0,0.019731777593553494,0.00530509744357525,632,1
3.0,0.0197313535825662,0.0053066605710009535,632,1
4.0,0.019727676276532467,0.005306651246334305,632,1
5.0,0.019727515311858106,0.005306650517203459,632,1
6.0,0.019727515311858106,0.005306650517203459,632,1
8.0,0.019727515311858106,0.005306650517203459,632,1
10.0,0.019727515311858106,0.005306650517203459,632,1
12.0,0.019727515311858106,0.005306650517203459,632,1
0.5,0.030724103030684492,0.007384112153707665,582,2
0.75,0.029816152626838892,0.007388964859861125,582,2
1.0,0.02930370151103408,0.00738751654680725,582,2
1.5,0.028936157803982943,0.007386589457238468,582,2
2.0,0.028840761524954482,0.007386501412209462,582,2
3.0,0.02880647890160301,0.007386609616230273,582,2
4.0,0.02880246952450739,0.00738661027933435,582,2
5.0,0.028802294731252762,0.0073866100311691186,582,2
6.0,0.028802294731252762,0.0073866100311691186,582,2
8.0,0.028802294731252762,0.0073866100311691186,582,2
10.0,0.028802294731252762,0.0073866100311691186,582,2
12.0,0.028802294731252762,0.0073866100311691186,582,2
0.5,0.02848072416243151,0.006387432377322821,658,3
0.75,0.02791338118558884,0.006433645834322923,658,3
1.0,0.027569883954643774,0.006446857686309127,658,3
1.5,0.027331150863067945,0.006449761555348778,658,3
2.0,0.02728843006614196,0.006450763377733135,658,3
3.0,0.027289305463936857,0.006451949950426292,658,3
4.0,0.027285681637143122,0.006451949691249483,658,3
5.0,0.027285527032775043,0.006451949413698656,658,3
6.0,0.027285527032775043,0.006451949413698656,658,3
8.0,0.027285527032775043,0.006451949413698656,658,3
10.0,0.027285527032775043,0.006451949413698656,658,3
12.0,0.027285527032775043,0.006451949413698656,658,3
0.5,0.03021331193369077,0.006974835851331807,662,4
0.75,0.029672693691700388,0.007016171095159439,662,4
1.0,0.029363850326212516,0.007027549889208921,662,4
1.5,0.029155487834951734,0.0070301131001083055,662,4
2.0,0.02912822298098477,0.007031164948745164,662,4
3.0,0.029136751824422675,0.007032215502578975,662,4
4.0,0.02913566446885276,0.007032217176226975,662,4
5.0,0.02913566446885276,0.007032217176226976,662,4
6.0,0.029135664468852757,0.007032217176226975,662,4
8.0,0.02913566446885276,0.007032217176226975,662,4
10.0,0.02913566446885276,0.007032217176226976,662,4
12.0,0.029135664468852757,0.007032217176226975,662,4
